well_id,n,anchor_rmse,pf_rmse
000d7d20,3836,7.454442102844319,10.605619741674122
00bbac68,6014,15.263052288602681,3.9550130253884577
00e12e8b,4301,7.92458894231589,8.221481396374047
015fe0d2,4296,23.154889673287215,6.138614412131228
01869cd4,5557,10.618593023436276,16.527698723363596
01982c1d,3941,6.33452473981023,13.982920550995324
028d7b28,6234,7.393605105422137,11.663661836646675
02e7fe5a,5108,8.414429717261077,8.87765277337661
0390d174,4411,8.517417217402954,11.230346096926432
03a935ae,2786,35.05448621305352,3.844676184106495
044af7d1,4519,9.868136513863366,12.255423310235892
0498acab,4798,5.996139045372776,7.552992023319216
052d64df,2445,7.3962717049147795,4.073182045471219
05948241,3879,4.995769989509691,5.924448113421319
059c8f24,6258,10.912174729109239,5.330052999944446
05a0ee4d,4348,18.344706956532814,4.815870517247914
060ab2b8,6258,9.048312196834127,2.822908181869734
06df5958,3509,3.0884860085517194,4.449240354875875
071d7b45,3211,17.11579247751261,37.12396867037516
0849b4e2,5537,14.567522114617379,6.359734626773386
084d66f9,3885,10.693040191903986,4.926237315017019
08fecf00,5574,4.759806836739511,4.680945775793842
09053135,5907,13.261553626472297,8.93419180890137
09441b8d,5488,15.9390645279074,20.739535475243237
0955cd6c,5195,8.023088122545198,8.391116195224784
09ec2ca9,5885,6.13281698431714,33.54204754100391
0a57a29c,5821,6.952723985070934,4.775710813347437
0bbf5e67,4298,18.377119492009776,12.089521699164562
0be01c24,4738,8.273369324203173,6.229387977840731
0c1b160c,5054,8.432276859497074,26.284925006855367
0d99f8e4,5823,9.343320012239094,13.877402186629443
0dc5e64d,4879,18.008822359134772,16.46000836993462
0dc835f3,4428,7.2297789729208715,8.174469871577275
0dd99dc5,7342,8.234632190411654,53.058318673138324
0e5e560d,3253,10.293900986020363,7.436687054326973
109d9d70,4215,9.371137061320914,11.843171267281129
10a1281a,5609,3.5911852573850855,39.95373186335937
10b89021,5414,14.721334704881999,29.448346499693518
10be2420,3271,13.259451874685324,2.414882312186077
113011eb,3272,5.177910618587731,28.74057843751964
1131525f,4159,14.670165574890584,6.976947564670583
11d0f5ac,4883,22.169205194123972,36.88434448811273
12203f2a,3261,13.762320645487467,5.633834824951605
122bd617,4570,11.670160284769418,11.663622703054642
125be846,6510,18.441379950265283,9.010675926422545
1285a37b,5597,5.549117512133954,19.37600173803548
1295a25b,5551,9.716800903498608,8.657210341396809
12f0cd90,5947,7.895034499573364,10.116533054681199
137d1e44,4554,25.010172511867026,32.17306141018916
13ce113d,2966,3.381014512965784,2.8595650929826943
13f598d9,7306,15.16858992587756,10.571532603195125
14a53cb3,6919,8.94761773897247,11.475755071870138
14ab73fb,3649,14.81915286795364,2.1242919674293463
14ad5efb,5842,6.298504340917485,5.109680779485559
14fee784,4910,21.419815878785553,8.717369597792338
153552f5,4695,5.161441840641978,8.779376927902696
1550491d,4563,21.167156242041475,20.76380505858355
155887bb,5585,11.793313793912793,6.699593288762629
1590af81,3799,5.560887269871239,8.339106528407207
15e154a1,6068,23.22648490243106,12.141310170952009
1619e2ca,4443,7.812315673810556,8.711844420465333
16e4a047,4131,10.715407020528387,15.407726592879946
173ed841,4883,17.58051747694951,15.594558223092934
1770d7c6,7240,12.332849608315879,34.85673486293215
177622d7,3154,9.800349606500166,3.998440644497368
18d24f7b,4558,7.530076271970659,5.822723759469152
19137a89,6267,18.119920942456794,5.3441295199111405
1944513c,4722,5.738736995920461,12.053681422530977
197f8a5a,6310,24.61555435098563,12.012551728146201
19871e7f,5293,5.353880109906093,24.27731777435994
198a5607,6251,9.944851115115334,5.932275950594116
19fb4f7b,5620,11.089880426882702,18.94277602393994
1a518997,4606,10.76070073803029,4.74704186591425
1a68190b,4474,16.431826147748733,12.100814269734617
1a730ac2,4605,16.350400725581075,15.600808629454855
1aaf1da0,4804,9.288199403984146,7.483859278395255
1b08ed48,5618,11.838490879530399,3.9161813045595175
1b1c5372,4261,17.833374900392585,18.123451410032153
1b1eba53,4655,70.63937461968057,7.153034533885906
1b6ba517,6597,7.818279827064867,13.28213585772761
1b82b665,3806,6.106594455886377,9.105530945366853
1bcb2fcf,4524,6.2062031463179,15.050235023996349
1beca81d,5036,8.154769966888065,13.498458543259154
1d3fbf02,2694,5.906372283901897,6.462922830558788
1d78281a,4949,11.881246003992382,9.404281996939083
1e30dedf,4071,12.137059232129838,11.117403730500833
1e5e3573,5480,11.921759172625736,10.167840924761158
1f9afacb,5328,2.518404175433652,4.071428965355445
1fdbba44,4911,5.835321753197851,28.92316436270375
1fee2b62,4641,8.271183690259376,9.924231440645475
20096916,5133,10.457150039432173,7.24306296603747
200d233d,3926,12.776233899276743,18.039926625367315
201661b5,5955,12.376074593108253,3.1544887678688576
203721ab,5730,10.037088673521446,19.425120627049793
20402d71,6372,11.661871660575386,5.436887105720168
2043abc5,6958,18.043675019417094,6.910475888618431
204cc64b,4805,6.09488008126444,28.023036681959855
206b6193,6535,36.50899923584182,9.617703620728657
2075c696,3188,21.898881254260402,3.921413479585301
