well_id,n,tw_corr,anchor_rmse,A_rmse,As_rmse,B_rmse,frac_gr
000d7d20,3836,0.7717465359386879,7.454442102844319,34.24133267671675,15.397349980374988,42.892405432308436,0.5265901981230449
00bbac68,6014,0.8274244590661899,15.263052288602681,52.25975790789028,31.945349067122375,64.86250348581223,0.8616561356834054
00e12e8b,4301,0.933478572648237,7.92458894231589,30.534509015285053,29.023952745833796,28.250185258635717,0.9028132992327366
015fe0d2,4296,0.8614070850249455,23.154889673287215,44.41310768895043,31.482640551928963,46.78190884723547,0.6797020484171322
01869cd4,5557,0.7851193040652017,10.618593023436276,38.56070258628814,15.293412149473092,57.119927720322565,0.4887529242396977
01982c1d,3941,0.9234832910057352,6.33452473981023,49.995708820425094,24.975856896892925,30.38568749831075,0.8419182948490231
028d7b28,6234,0.9161965099691228,7.393605105422137,35.177548864252685,29.390218258102486,26.825294703244968,0.7669233237086942
02e7fe5a,5108,0.7891048828625644,8.414429717261077,31.62381327409032,8.99337604386769,24.654800263194666,0.3633516053249804
0390d174,4411,0.9731465844955948,8.517417217402954,27.693895752241964,12.085859763972378,24.8454167664914,0.5021537066424847
03a935ae,2786,0.765736547513096,35.05448621305352,61.613003040322596,42.41173438401399,40.8094309714019,0.9594400574300072
044af7d1,4519,0.8110190306674664,9.868136513863366,27.268863103854617,9.8437217004159,55.92715468141624,0.3410046470458066
0498acab,4798,0.7325108716940645,5.996139045372776,40.919165663937136,12.127070054016873,44.293367256390376,0.5254272613588995
052d64df,2445,0.8514548245099007,7.3962717049147795,42.997021639849706,22.296473277481958,25.44591756281307,0.7247443762781186
05948241,3879,0.8442836294449425,4.995769989509691,29.973026919072197,12.410104566828883,33.04282294707049,0.4013921113689095
059c8f24,6258,0.7936987185401966,10.912174729109239,35.375559124870335,17.90726752291907,18.741816570197507,0.5647171620325983
05a0ee4d,4348,0.7411174723262282,18.344706956532814,43.598827433107196,16.655728461114414,54.96895915144476,0.640294388224471
060ab2b8,6258,0.8140589119721428,9.048312196834127,35.85165728957416,10.202430760970957,28.299535419678524,0.4250559284116331
06df5958,3509,0.6028725483590951,3.0884860085517194,44.94901446238807,23.387029346719576,58.619644767472316,0.810772299800513
071d7b45,3211,0.5612185552395329,17.11579247751261,38.680342966614624,25.678173966420452,15.35469631955353,0.8461538461538461
0849b4e2,5537,0.8886168641639096,14.567522114617379,41.817308537250675,19.521637888639226,39.265918269504624,0.7500451508036843
084d66f9,3885,0.7570006624598411,10.693040191903986,29.41147810286998,12.638693287089922,31.786156529193303,0.35366795366795367
08fecf00,5574,0.8476065098497964,4.759806836739511,49.91473715626027,13.18607985073373,27.267902585130667,0.7176175098672407
09053135,5907,0.8650940016102601,13.261553626472297,54.623452028827934,20.21678350355006,88.52088747675148,0.5781276451667513
09441b8d,5488,0.8626287750882116,15.9390645279074,44.406692382076,26.373998982012694,42.53310795361505,0.8828352769679301
0955cd6c,5195,0.816272217117308,8.023088122545198,33.1004737963638,10.791764977880602,45.463543283092676,0.35457170356111645
09ec2ca9,5885,0.7922112891421627,6.13281698431714,40.89833841092856,13.674597059543084,51.40570888048808,0.4395921835174172
0a57a29c,5821,0.6883416565611228,6.952723985070934,35.12417704136068,10.076037563647096,41.42624235713758,0.47002233293248585
0bbf5e67,4298,0.965184958399326,18.377119492009776,33.286198461629645,18.34692065281374,21.630782189602943,0.47254536993950674
0be01c24,4738,0.8821283578259066,8.273369324203173,49.07341741505172,20.525554724016082,28.838438393182027,0.9649641198818066
0c1b160c,5054,0.8170659812286285,8.432276859497074,31.58702353808015,10.610523173632494,26.21551954808634,0.47902651365255244
0d99f8e4,5823,0.5566389146567724,9.343320012239094,32.406851500569694,13.51946576076383,46.94413272812418,0.46007212776919115
0dc5e64d,4879,0.9255767943671888,18.008822359134772,52.536098880982074,27.073821425109795,14.758560028595058,0.9885222381635581
0dc835f3,4428,0.9410304928277783,7.2297789729208715,46.173163668979186,30.63559113655802,38.612894753113125,0.966576332429991
0dd99dc5,7342,0.6512316407846599,8.234632190411654,49.94910386483471,18.445179978821308,63.825262404493394,0.523563061836012
0e5e560d,3253,0.8919085414219647,10.293900986020363,43.61352534150864,16.714075911309404,33.64707653466865,0.7153396864432832
109d9d70,4215,0.7319454734785164,9.371137061320914,33.081825490646516,12.318075926035302,39.14428917108297,0.5867141162514828
10a1281a,5609,0.7699389248361783,3.5911852573850855,60.16386446452793,49.09565257300161,52.744349505348474,0.9572116241754324
