corr_bin,n_wells,anchor,A,As,B
<0.3,1,7.849172504180856,38.32576236647813,22.848310453106595,40.54494989278064
0.3-0.5,7,16.474462505919952,42.75513616336267,22.49654668084533,51.35499120315501
0.5-0.7,84,13.258023037098573,43.19627921613655,21.730842050258815,46.00753095996149
0.7-0.85,437,12.59181805805497,42.234007942254344,21.81239756708477,42.51820578902159
>0.85,244,12.9695395661619,41.507988451795775,22.160128603027285,41.96953262706049
