well_id,n,anchor_rmse,pf_rmse,best_cand
000d7d20,3836,7.454442102844319,3.8062308014815867,1
00bbac68,6014,15.263052288602681,4.975147395315178,1
00e12e8b,4301,7.92458894231589,8.856115514948272,0
015fe0d2,4296,23.154889673287215,6.905418035693122,1
01869cd4,5557,10.618593023436276,16.468293790421548,2
01982c1d,3941,6.33452473981023,6.782518645295881,0
028d7b28,6234,7.393605105422137,15.685014555773115,2
02e7fe5a,5108,8.414429717261077,5.968863691034579,0
0390d174,4411,8.517417217402954,3.6630348135560697,1
03a935ae,2786,35.05448621305352,1.2333166935897941,0
044af7d1,4519,9.868136513863366,1.9092799603529298,0
0498acab,4798,5.996139045372776,4.127426514139591,2
052d64df,2445,7.3962717049147795,2.092604215453298,0
05948241,3879,4.995769989509691,2.3418289446224327,2
059c8f24,6258,10.912174729109239,4.795838100719835,0
05a0ee4d,4348,18.344706956532814,9.323818632854266,0
060ab2b8,6258,9.048312196834127,2.489699336199127,0
06df5958,3509,3.0884860085517194,7.398409813413503,0
071d7b45,3211,17.11579247751261,5.221117065497049,0
0849b4e2,5537,14.567522114617379,4.127110219343753,1
084d66f9,3885,10.693040191903986,3.8074375090976202,1
08fecf00,5574,4.759806836739511,5.555502085390929,2
09053135,5907,13.261553626472297,7.710494829843226,0
09441b8d,5488,15.9390645279074,2.0515510725314727,2
0955cd6c,5195,8.023088122545198,4.969522946995565,0
09ec2ca9,5885,6.13281698431714,9.763229628724304,0
0a57a29c,5821,6.952723985070934,7.299729164321218,0
0bbf5e67,4298,18.377119492009776,1.3983043839931983,0
0be01c24,4738,8.273369324203173,2.3899011959742884,1
0c1b160c,5054,8.432276859497074,13.507543564207301,2
0d99f8e4,5823,9.343320012239094,4.659423130814412,0
0dc5e64d,4879,18.008822359134772,15.684983465544518,2
0dc835f3,4428,7.2297789729208715,5.031908011343932,0
0dd99dc5,7342,8.234632190411654,3.9055107711526467,1
0e5e560d,3253,10.293900986020363,6.999850941432013,0
109d9d70,4215,9.371137061320914,16.724798622255186,2
10a1281a,5609,3.5911852573850855,10.29894329956564,0
10b89021,5414,14.721334704881999,1.4956090454769315,0
10be2420,3271,13.259451874685324,4.120680732951539,1
113011eb,3272,5.177910618587731,28.869447222298902,1
1131525f,4159,14.670165574890584,2.3875205163118207,0
11d0f5ac,4883,22.169205194123972,22.63687288136845,2
12203f2a,3261,13.762320645487467,6.115939795662772,1
122bd617,4570,11.670160284769418,18.234668211674318,2
