longtail_bin,n_rows,n_wells,model_rmse,model_mae,model_bias,model_p95_abs_error,anchor_rmse,anchor_mae,anchor_bias,anchor_p95_abs_error,rmse_improvement_vs_anchor
200-499,407,1,1.765701081889949,1.5622455152204195,-0.014721940733508177,2.8071569473415363,2.555309739035002,2.072039312039204,1.1741523341520774,4.0899999999983265,0.7896086571450529
500-999,911,1,3.049901886475194,2.7008494784090598,2.7008494784090598,4.8576980742464,3.6011694039210935,2.949198682765599,-2.949198682765599,7.599999999999454,0.5512675174458996
1000-1999,7087,4,9.451800866547783,6.756853889686461,6.120555676732558,17.36180424812064,15.319531904328347,10.112888387187498,10.000697050937967,36.68099999999903,5.867731037780564
2000-2999,107758,40,11.89984510838005,8.202800994930714,-0.43828993052806714,23.963635499412792,12.268652536029855,8.386510978303233,-1.066157037064534,25.38000000000102,0.3688074276498039
3000-3999,489105,138,13.093099586564525,9.322764909497591,0.21689610603876222,26.80619312231829,13.981548546858107,9.691189274286781,-0.4442772615287502,29.329999999999927,0.8884489602935819
4000-4999,1124390,248,16.069100137163495,11.023914741800294,-0.44007685931310825,33.95113866679186,16.41999003904314,11.314576090146698,-1.6115411111802889,31.640000000001237,0.3508899018796434
5000-5999,1090777,199,13.465304848538405,10.016700484089819,0.7899127849988915,27.474256411774693,14.125612459409915,10.423560672804774,-0.9667777740087505,28.350000000000364,0.6603076108715094
6000-7999,834221,128,16.965401459571197,11.938501756536237,-1.0992604167633035,36.766408386039984,18.952866904491597,13.409499940663173,-3.1179990074571866,40.52000000000044,1.9874654449203994
8000+,129333,14,15.146100916740675,11.957218933892113,0.24589561580103858,30.454800078986587,13.578458821099645,10.59412733022508,-2.381750442655637,27.609999999998763,-1.5676420956410304
