well_id,fold,n_rows,hidden_length,known_length,model_rmse,model_mae,model_bias,model_p95_abs_error,anchor_rmse,anchor_mae,anchor_bias,anchor_p95_abs_error,rmse_diff,final_delta_z_from_ps,mean_abs_dz_step,std_dz_step,mean_abs_dxdy_step,curvature_proxy,azimuth_range,vertical_shape,curvature_shape,trajectory_shape,anchor_dominant,lgbm_kills,anchor_blown
727a3a10,2,4397,4397,1945,50.20492992879184,47.67963501257395,47.67963501257395,68.24205391023824,12.36395803493887,11.572679099385365,11.572679099385365,18.229999999999563,-37.84097189385297,8.429999999998472,0.012140582347588484,0.017380079421316776,0.9998623155461076,0.005255509123073866,0.24169687818056707,flat,smooth,flat_smooth,True,True,True
0390d174,1,4411,4411,1690,42.380757528843425,38.4316917078312,38.4316917078312,56.83539492120417,8.517417217402954,7.240213103604261,1.676087055088481,17.18000000000029,-33.86334031144047,-177.95000000000073,0.04094557823129369,0.02534924570057625,0.9988784443906493,0.005492145013733823,0.1496501685723195,downward,curved,downward_curved,True,True,True
b95e7121,3,6306,6306,1186,32.91359450372903,31.454364578851667,31.454364578851667,42.53073216294979,3.4204599760598935,3.035504281636557,-1.9326244846178848,5.997499999999945,-29.493134527669135,-332.10999999999876,0.05266137985725596,0.016239396813957255,0.9984970428594981,0.0055334072245634925,0.17680662445920303,downward,curved,downward_curved,True,True,True
65a5466a,1,4683,4683,1434,37.75229497321165,32.7478474069107,32.64631750561271,56.08248242196278,11.991020361693243,9.338554345505015,-6.436124279308135,23.657999999999802,-25.761274611518402,-193.95999999999913,0.0418923536950024,0.02196548479632577,0.998916558494701,0.005649513191554547,0.22488354288808332,downward,curved,downward_curved,True,True,True
a6f967fb,3,4670,4670,2362,38.94394012853926,37.20498713643654,37.20498713643654,48.255737747187595,13.762814229045636,12.552085653105298,12.552085653105298,21.38000000000102,-25.181125899493622,-107.0,0.0233797387020775,0.0185468496913141,0.9995838090887227,0.005472871880068413,0.13510995764932965,flat,smooth,flat_smooth,True,True,True
5693dde2,1,3488,3488,1358,29.65151923131872,26.72117990590402,26.72117990590402,51.506715289575,6.95783505375875,5.988377293577413,5.9867603211003315,12.436499999999247,-22.69368417755997,-180.65999999999985,0.05179523946085477,0.019155992554624694,0.9984901339388953,0.0053789616318571385,0.169391076371594,downward,smooth,downward_smooth,True,True,True
4b462989,4,3106,3106,1632,23.24557102729288,21.854747866203674,21.854747866203674,34.44397808376925,6.605024585467642,5.420083708950559,3.611584030908221,11.840000000000146,-16.640546441825236,173.41000000000167,0.05584219001610346,0.02209788408133171,0.9982083443566846,0.005045860866086177,0.2072731481724066,upward,smooth,upward_smooth,True,True,True
59f8b2e8,2,3747,3747,1921,21.720291680254068,20.971409966429334,-20.971409966429334,34.237718853981825,6.235385931133263,5.224363490792942,2.210677875635289,10.410000000001673,-15.484905749120806,-161.10000000000036,0.04299519487453318,0.018421373829060304,0.9989213216472813,0.005535629377640184,0.17042778648418025,downward,curved,downward_curved,True,True,True
c03b9305,3,4255,4255,1812,19.172183210815625,15.671482826200128,-15.671482826200128,35.299987924545164,7.1171172090817905,4.242542890716882,-3.431393654524905,18.38000000000102,-12.055066001733834,178.86000000000058,0.04207569346497409,0.019458533418520316,0.9989419996248742,0.005437583061455225,0.3117364031026959,upward,smooth,upward_smooth,True,True,True
8cc800b3,2,6576,6576,1515,25.63790280608558,24.08239776270056,24.07981947017779,38.57625055251992,13.894631430456734,13.228137165451509,13.228137165451509,19.8700000000008,-11.743271375628847,-343.5799999999999,0.05225095057034237,0.017143926333338493,0.9985037013731923,0.005489968917036927,0.14772900971101688,downward,curved,downward_curved,True,True,True
6d590e26,4,6096,6096,1746,19.371116305945655,17.13056411134665,13.68283358827282,27.75488005119132,8.629685403348205,6.6220751312336645,0.42188484252004393,19.73999999999978,-10.74143090259745,246.47000000000116,0.040541427399507855,0.02158166095257699,0.9989643947673561,0.005542332327689274,0.2525542760174704,upward,curved,upward_curved,True,True,True
70925e23,3,5947,5947,2125,24.748524568648794,22.928173779291264,22.152257750981207,30.515838088875352,14.784803005082047,13.469631747098433,13.469631747098433,26.279999999998836,-9.963721563566747,92.54000000000087,0.02017322569794771,0.029388431293755502,0.9994625882916995,0.005532321137989483,0.4095921044921689,flat,curved,flat_curved,True,False,False
e7818f7a,3,5371,5371,1458,16.058259870069797,14.827078129318295,14.827078129318295,26.90507770039676,6.312633342217896,5.336350772668605,4.6391063116744675,11.715000000001055,-9.7456265278519,-265.1900000000005,0.04937802607076348,0.01805496783479229,0.9986344215712087,0.005196267369806531,0.19131434184515228,downward,smooth,downward_smooth,True,False,False
7850c72e,1,5497,5497,2215,21.365735040609106,19.91044221081009,19.91044221081009,35.803026061305715,12.350659981673207,10.308068037111216,1.5704693469178743,21.296000000000998,-9.0150750589359,-194.7400000000016,0.03634825327510991,0.021760910866054736,0.9991510531127319,0.005266581114995337,0.12091212859344214,downward,smooth,downward_smooth,True,False,False
a056d01e,0,6557,6557,1735,17.066174987003816,13.418316850418044,13.383783754393795,38.028192288250644,8.584211201864289,5.70007930455993,-0.05269788012742951,20.474000000001247,-8.481963785139527,-187.01000000000022,0.02923581452104943,0.01649374802823534,0.9994738736660743,0.0055709574637141995,0.21417520244203714,downward,curved,downward_curved,True,False,False
96ae5806,3,9839,9839,1688,16.759603117269908,15.253574191576554,15.253574191576554,27.974515104173953,8.450669041365172,6.897262933225843,6.0511200325250005,16.85500000000213,-8.308934075904736,-328.0100000000002,0.0339662533035177,0.021862623066266174,0.9992218066353629,0.0055295767236910355,0.17985350014741552,downward,curved,downward_curved,True,False,False
1285a37b,4,5597,5597,1806,13.853003592329713,13.27307793687287,13.27307793687287,18.49643151019991,5.549117512133954,5.098252635339538,5.089044130783481,8.491999999999823,-8.30388608019576,191.03999999999905,0.03413509649749829,0.00816329354591356,0.9993995701754388,0.005609416937485825,0.1566226564468982,upward,curved,upward_curved,True,False,False
d0a43760,4,4041,4041,1461,12.53444997025747,10.92971194684766,-10.92971194684766,20.12088889336337,4.249353040412356,3.7470650829001197,-2.1299703043796456,7.149999999999636,-8.285096929845114,-25.860000000000582,0.01386881188118918,0.017408163493317756,0.9998450476740215,0.0055893104157005965,0.32580038659201893,flat,curved,flat_curved,True,False,False
5567d551,4,6889,6889,1501,18.44208351913448,17.694105827502085,17.694105827502085,26.958458939602494,10.289492216812466,7.816475540717537,7.01375235883343,21.268000000000377,-8.152591302322016,253.3099999999995,0.037777293844366885,0.021032532509048473,0.9991186187725279,0.005656292974373536,0.18878183426993722,upward,curved,upward_curved,True,False,False
d9ae59b2,3,3648,3648,1502,12.82624909830201,11.826258197105041,11.826258197105041,20.170545533563832,5.0470807715641435,4.056735197368378,4.008336074561351,10.436499999999793,-7.779168326737867,-157.4499999999989,0.04315601864546186,0.015076572904998127,0.998969137355943,0.0053199973151485695,0.10034050680737416,downward,smooth,downward_smooth,True,False,False
028d7b28,4,6234,6234,1527,15.035371907492477,12.016616503126158,11.945854905690663,26.736222234711565,7.393605105422137,5.793652550529349,1.806828681424373,15.760000000000218,-7.64176680207034,-236.9499999999989,0.040768490293598685,0.030969447150997333,0.9988141558518138,0.0056474485946137265,0.13633240847848238,downward,curved,downward_curved,True,False,False
1590af81,4,3799,3799,1432,12.987942789020208,11.888717803090772,-11.888717803090772,22.7909587999271,5.560887269871239,4.827322979731312,-2.074645959462466,9.890999999999439,-7.427055519148968,141.11000000000058,0.037148499210110625,0.014704552590588595,0.9992171998267602,0.005434231044729835,0.2031608296778249,upward,smooth,upward_smooth,True,False,False
660d9546,2,4732,4732,1408,16.690497081076323,14.921896029663504,14.921896029663504,29.3251690976459,9.433757519583331,6.351813186813342,6.314628064243644,21.19000000000051,-7.256739561492992,-112.27000000000044,0.02472627351511184,0.019556359324370425,0.9995449226345168,0.00494399878722107,0.17125824237096388,flat,smooth,flat_smooth,True,False,False
89969c7a,1,4947,4947,1370,14.98130016769771,11.122805631129328,-8.73839382798721,32.19121159670467,8.235332474787521,6.564327875480122,-2.3485324439064175,15.270000000000437,-6.745967692910188,206.23999999999978,0.04260008087343286,0.024801147977843576,0.9988378068022894,0.005761964293117883,0.16757585767640037,upward,curved,upward_curved,True,False,False
96936c22,2,3346,3346,1651,10.772393918053407,10.014751883470561,10.014751883470561,15.200270379743415,4.079825343764616,3.361464435146694,-0.20661685594603377,9.634999999997945,-6.69256857428879,83.27000000000044,0.02498953662182366,0.01689126710938247,0.9995633165831542,0.005682859648090673,0.05671952681862269,flat,curved,flat_curved,True,False,False
