feature,importance_gain,importance_split
dZ_dMD_from_ps,706361572.4191406,3296.4
last_known_Y,326698811.6413361,481.8
pre_ps_dZ_dMD,292053652.76099855,730.8
pre_ps_tvt_curvature,258652540.9678421,857.0
delta_X_from_PS,256154447.2812561,2301.6
delta_Z_from_PS,245718737.79961854,2116.4
known_length,241817520.03315276,729.8
Y,241816030.29226533,2186.0
X,237926107.51175538,1634.8
pre_ps_tvt_slope_last20,229791683.08884278,780.2
pre_ps_tvt_slope_last5,191599199.9611145,328.8
tw_gr_scale,180731778.27957764,698.6
tw_gr_offset,160852558.06636962,694.6
tw_gr_last20_diff,160129411.40595397,743.4
n_rows_in_well,158092003.46362764,791.8
Z,156794849.63919526,2251.4
delta_Y_from_PS,144052730.97606507,1646.0
pre_ps_gr_available_frac,133712388.82552795,829.8
tw_gr_abs_slope_at_anchor,123991003.71421356,562.8
pre_ps_gr_trend,118795664.96984558,635.4
last_known_X,118611687.25307617,268.8
tw_known_gr_corr,118179233.78013763,646.4
pre_ps_dX_dMD,115914652.38287354,463.4
last_known_MD,113532493.09380646,420.2
pre_ps_gr_mean,112645309.53386077,564.4
last_known_TVT,112397945.51320343,540.0
row_frac,111540261.45938721,2371.6
pre_ps_gr_last20_mean,109046659.75640869,546.0
tw_gr_slope_at_anchor,107808636.9045395,644.4
tw_gr_at_anchor,106184916.46283416,459.8
MD,103546663.93227538,2170.0
pre_ps_horiz_dMD,102151254.17164001,614.2
pre_ps_gr_std,100942371.65121917,595.2
pre_ps_dY_dMD,100666612.68931885,318.6
hidden_frac,94148655.61125183,157.0
kh_ratio,91746942.8803955,449.0
dY_dMD_from_ps,89104497.03048706,942.8
hidden_length,85010241.65418243,431.4
last_known_Z,83910411.61913148,290.2
dX_dMD_from_ps,66666979.21053009,798.2
azimuth_from_ps,58917435.829927064,625.0
delta_MD_from_PS,55601030.857284546,945.2
pre_ps_azimuth,52902317.1652771,158.6
horiz_disp_from_ps,44785694.10409546,876.4
pre_ps_tvt_delta_last20,13062922.761279296,43.4
post_ps_step,12463968.102694701,139.2
gr_rolling_mean_w50,10091943.236100769,336.4
gr_rolling_mean_w20,1046060.9506561279,57.6
gr_rolling_std_w20,423537.871282959,57.4
gr_z_score,108638.22580566406,12.2
gr_vs_pre_ps_mean,82273.86465454102,9.8
GR,74854.53294067383,4.6
is_gr_missing,0.0,0.0
