well_id,n,anchor_rmse,beam_rmse
000d7d20,3836,7.454442102844319,8.377914295751859
00bbac68,6014,15.263052288602681,14.77802092368537
00e12e8b,4301,7.92458894231589,8.493247446036515
015fe0d2,4296,23.154889673287215,23.336510255574563
01869cd4,5557,10.618593023436276,12.813247856903851
01982c1d,3941,6.33452473981023,6.5867092240489455
028d7b28,6234,7.393605105422137,8.35432889940152
02e7fe5a,5108,8.414429717261077,5.549758738092363
0390d174,4411,8.517417217402954,8.705029898280465
03a935ae,2786,35.05448621305352,27.422585851825378
044af7d1,4519,9.868136513863366,6.810212463272951
0498acab,4798,5.996139045372776,5.627231598553421
052d64df,2445,7.3962717049147795,7.052671265029803
05948241,3879,4.995769989509691,3.912242833906839
059c8f24,6258,10.912174729109239,10.91446815323937
05a0ee4d,4348,18.344706956532814,20.2938218215409
060ab2b8,6258,9.048312196834127,6.568899506256468
06df5958,3509,3.0884860085517194,3.4231817764509835
071d7b45,3211,17.11579247751261,15.804029235163005
0849b4e2,5537,14.567522114617379,13.827632214689784
084d66f9,3885,10.693040191903986,10.266870568557346
08fecf00,5574,4.759806836739511,4.724501409131371
09053135,5907,13.261553626472297,17.05142230712242
09441b8d,5488,15.9390645279074,13.471309088425901
0955cd6c,5195,8.023088122545198,8.05404221867943
09ec2ca9,5885,6.13281698431714,5.638798857893411
0a57a29c,5821,6.952723985070934,4.230193382101574
0bbf5e67,4298,18.377119492009776,14.490446183194493
0be01c24,4738,8.273369324203173,6.653599157197315
0c1b160c,5054,8.432276859497074,8.489187953986564
0d99f8e4,5823,9.343320012239094,13.015289711791599
0dc5e64d,4879,18.008822359134772,16.16711534502766
0dc835f3,4428,7.2297789729208715,7.725560676434861
0dd99dc5,7342,8.234632190411654,7.655726226684595
0e5e560d,3253,10.293900986020363,7.8694609009952
109d9d70,4215,9.371137061320914,10.327442419067372
10a1281a,5609,3.5911852573850855,5.376991801873867
10b89021,5414,14.721334704881999,17.59538957271604
10be2420,3271,13.259451874685324,9.644204498982203
113011eb,3272,5.177910618587731,5.906597246269768
1131525f,4159,14.670165574890584,10.867967895168805
11d0f5ac,4883,22.169205194123972,29.102208204575092
12203f2a,3261,13.762320645487467,14.797123582853704
122bd617,4570,11.670160284769418,10.598212257887603
125be846,6510,18.441379950265283,14.710874821982088
1285a37b,5597,5.549117512133954,3.0805731734773905
1295a25b,5551,9.716800903498608,8.0169652826214
12f0cd90,5947,7.895034499573364,7.626723875655633
137d1e44,4554,25.010172511867026,27.007538889396848
13ce113d,2966,3.381014512965784,3.171264006296929
13f598d9,7306,15.16858992587756,10.863971953616844
14a53cb3,6919,8.94761773897247,7.529362442299067
14ab73fb,3649,14.81915286795364,13.205928168188885
14ad5efb,5842,6.298504340917485,8.279674299527677
14fee784,4910,21.419815878785553,20.97868563476392
153552f5,4695,5.161441840641978,6.709378535493311
1550491d,4563,21.167156242041475,18.77557823364863
155887bb,5585,11.793313793912793,11.628303278635084
1590af81,3799,5.560887269871239,5.602576983058495
15e154a1,6068,23.22648490243106,20.611200248412793
1619e2ca,4443,7.812315673810556,8.973603561300532
16e4a047,4131,10.715407020528387,10.888972504549223
173ed841,4883,17.58051747694951,17.898313032855327
1770d7c6,7240,12.332849608315879,10.17706398118778
177622d7,3154,9.800349606500166,8.494521893664531
18d24f7b,4558,7.530076271970659,7.567055700991323
19137a89,6267,18.119920942456794,20.24079195203631
1944513c,4722,5.738736995920461,6.252691918640748
197f8a5a,6310,24.61555435098563,18.53595313394465
19871e7f,5293,5.353880109906093,7.809473379611694
198a5607,6251,9.944851115115334,10.985116203028152
19fb4f7b,5620,11.089880426882702,11.748793052856602
1a518997,4606,10.76070073803029,8.3450519221705
1a68190b,4474,16.431826147748733,18.61013217479487
1a730ac2,4605,16.350400725581075,13.097265949907973
1aaf1da0,4804,9.288199403984146,8.897168873173342
1b08ed48,5618,11.838490879530399,7.198276789590714
1b1c5372,4261,17.833374900392585,20.12492943587822
1b1eba53,4655,70.63937461968057,72.85758251988536
1b6ba517,6597,7.818279827064867,9.860552431986484
1b82b665,3806,6.106594455886377,5.4733979766988625
1bcb2fcf,4524,6.2062031463179,5.14018280818398
1beca81d,5036,8.154769966888065,9.703215583333307
1d3fbf02,2694,5.906372283901897,4.799260185576967
1d78281a,4949,11.881246003992382,10.458882364366355
1e30dedf,4071,12.137059232129838,9.501372221210387
1e5e3573,5480,11.921759172625736,11.656958513626268
1f9afacb,5328,2.518404175433652,3.1311956893981607
1fdbba44,4911,5.835321753197851,4.861459535659322
1fee2b62,4641,8.271183690259376,8.080336939090072
20096916,5133,10.457150039432173,11.653957355792482
200d233d,3926,12.776233899276743,13.920565235149356
201661b5,5955,12.376074593108253,13.12657445651843
203721ab,5730,10.037088673521446,12.161909374923617
20402d71,6372,11.661871660575386,9.51582389053694
2043abc5,6958,18.043675019417094,13.97946265259242
204cc64b,4805,6.09488008126444,7.91975165975772
206b6193,6535,36.50899923584182,32.811646361914384
2075c696,3188,21.898881254260402,25.266045818510126
22c5f93f,5172,7.091232323797548,8.314557019966832
230eaaa3,4690,25.322864048616943,25.517055129959786
2364716c,4316,19.668009235301668,18.31792233964199
23b9beb0,7340,5.499363741994015,4.235869237826631
24d8997e,3442,5.6395027824068205,5.908601872060733
25050f63,6124,37.996607342363916,36.175819256212364
25939962,4319,11.099661933822553,13.645509396962547
25fd32b3,2885,3.1781649872704114,1.7299383196700344
261785ee,3646,23.57894263400833,24.13002864084742
264feceb,5665,10.863394363873287,10.564930614218392
26623a50,5735,21.675376849132046,24.546518922551467
26d3a96a,4721,9.063491001698889,7.427060773434685
272abef3,4135,10.023016592838678,8.613929392531674
27300fd5,5467,17.389589831741016,12.891943377286351
276b012a,4837,27.08665184488836,25.89200488864167
27c3155b,4958,18.11085336032788,17.445822173170164
27ebb9b9,5766,9.988233062217338,9.670891800785553
283269ac,2626,1.1159494538507433,2.173845339925183
28473855,4290,4.546502439117813,4.643932619194209
28f4eda9,5266,12.159025419229918,9.853302155503718
29b24409,5587,13.756821410921399,12.890997637823855
29de15c8,3431,4.5857601721794286,5.05147619024872
2ab29395,1852,2.45945596628769,2.116035986863423
2ac7cb6b,4990,19.596293256603055,20.71504198685623
2acc78d4,4266,13.626234402591441,16.335400691417114
2b034622,5203,6.805621396093291,5.193025478550286
2b06ad65,4256,2.7463768040476424,2.634263752180177
2b547943,3480,12.241457142013665,15.617113504460635
2be5c96a,4210,3.6618588662445717,3.8061932148155995
2bff06cf,7624,28.427941006681795,24.879617376338512
2c0c4a4e,4790,8.04594018660484,5.905564315682463
2cee0cba,5500,10.665140786694133,13.24961693344902
2d0c268a,4550,14.874791132341558,15.56299934363036
2d179ded,7008,7.749754286132607,9.093654542964043
2d196986,6474,11.991317360702503,13.102654383754082
2d2d0c6b,5045,3.045945300727323,2.165194440733405
2d35f86d,4896,11.216196779664774,10.247717377766365
2d9f6cb9,7338,9.908706063856238,8.16172016686895
2ddad940,5331,7.645816438023014,7.386015503924658
2e29e833,5428,4.3076518266215045,4.5751643816934005
2e43c2ea,5698,7.487396669090343,8.525005281519984
2e63d9de,4699,13.77390817425645,11.525842507865503
2ee0235b,5556,6.80295371229703,6.320897928536632
2f19d536,3088,6.535598394413745,7.81200195578717
2f8e53c3,2594,3.293055138227308,2.596774938290153
2fa01aa6,2174,18.77741961251621,15.057820718602487
2fd68f7b,4730,60.74015262396321,61.73690518885492
2fe023be,4221,12.90931147808348,8.949570312492854
30d75030,3404,17.599318669377997,19.307675056250126
310c71a5,5245,8.843313479056066,8.25324034982893
32fe84c9,6408,22.250821979444407,16.36215856377621
33c40295,4169,8.700789781165115,9.86074069216871
3407f5bf,3638,21.29388267466182,18.868598186744983
3417285d,5449,34.42198868150785,34.79987311774444
347242c8,3595,2.242023016039388,2.111081293981368
353e5502,6062,5.639360585146688,6.464308456641285
357c12f9,4079,5.624420852755269,5.878257279633575
3584a6eb,4494,9.108318362664079,6.977975186397777
35b30c7f,9579,19.15158789297762,19.304640669790217
35b3ef6a,3904,26.045383636758544,17.161778062078323
367456ce,5569,12.622377103894497,7.462117681074129
368131f9,4991,20.875783169531438,18.486715872947048
368fe682,4936,13.878502686940966,12.388980929429986
3690a146,4073,7.130156510792888,6.059129687768288
37344c2a,5197,13.239300394199656,13.859207902762996
373ef48b,3509,5.207191387759596,5.116167647881383
374be387,9965,6.712762639770746,6.817505286443702
37d36812,4367,21.856313079076383,26.32539172628215
38991fd4,4798,14.86604108751415,14.542422031544527
389ae58f,6463,49.76304894845995,47.000422450049534
3932faa6,5452,13.157974615537267,13.512380724047915
398dce4b,3166,4.559718484677409,3.9498999022325982
39b51819,4231,3.160351282946552,2.7141447902280853
3a0af893,2927,18.6897660134781,19.252428915022936
3a223519,4583,9.401162306681243,6.852890925370098
3a7dd95d,3072,13.010388611275376,13.419007022647927
3a824aa7,4201,5.690131490731758,6.190332551052565
3a86fe8d,5118,11.634711217695367,8.54691648980747
3aaa2b30,4711,17.520232328990414,17.679543562616708
3ac16ad0,5649,8.880546118495223,8.03770046706872
3b21ea64,7376,8.368949948322665,8.298651944390048
3bbe1f5d,6918,10.572803005133604,6.231656814696702
3bfee975,3603,7.840543276658913,7.799650615972094
3c3dbcbc,5069,8.29349171896155,9.058382744569656
3d96d897,5659,3.6092906343486293,3.3228720838095023
3df4b19e,4988,8.67249047497302,8.675485966348786
3e011332,2723,17.42146062278745,17.92568884581587
3e678ea7,6858,10.229911981746914,10.18574087446167
3ef6372a,4727,6.229379944022544,6.70798744358674
3ef98781,3892,12.433878700657393,12.108298159463178
3f603129,5051,29.712176284154232,23.003272679192882
404c4384,911,3.6011694039210935,3.642825719132312
4121c517,3723,11.223238561279205,11.617065625722017
41fb0192,2973,3.5577103110362645,2.2125535264373677
42669188,4282,23.030677799344762,16.832230106980983
42c538a1,3279,26.18883109705342,20.384271157479876
43b06c70,4846,8.769342298126745,6.377838435482781
43c7f85a,5978,11.180370167514397,8.603805107220918
43e16325,3720,45.776662453735184,46.129713373993916
44441e54,4357,3.668929750345109,3.785755656486319
445af6c2,6041,29.954468486977532,29.093369733843335
4463446c,3256,18.86029305975226,14.769682811674494
44a94013,4903,23.26260921867206,20.935147481861634
45fb3e21,3649,25.15963005414619,26.966401400787763
460f859e,3336,20.01206991533264,20.233882356423933
4630ab92,3373,10.880550178687447,12.437316377311687
463c38f2,4460,6.316346789980795,6.0557920867171005
4654e7de,5373,5.262206132576318,5.015538366731495
466fc788,6197,16.96677982284487,14.527701777143239
46a301e9,8226,10.714122960128444,9.344189067725667
46a7190b,4215,13.31037471543342,10.107746024136175
46d24a09,4449,21.034427197140683,17.28546896297529
46d41ff6,7901,7.152719312990992,6.62956555570678
46dfcfca,3606,23.306915931867923,28.009844553554554
47222616,4406,12.72802806095558,17.294360897104823
47ee27ab,6397,7.811133847911845,7.562167656549941
481de5fc,5952,13.661013098019078,8.674585297595193
48c1f673,2917,18.480143096264484,18.13997982523077
4936af16,3991,5.12683088404085,6.8382590444865645
493b5b31,4671,20.806259253075513,23.352546097451256
49dbc14c,3872,5.472416193779096,6.6849868381303965
4a035ec2,2588,18.37817503927824,17.282358839299512
4a335117,5015,25.01473417971471,26.697931478270107
4a8ecc0b,5809,11.211904800768597,16.6749111491157
4b462989,3106,6.605024585467642,6.26444323463
4b831d20,7312,16.40332593479727,17.39512775988492
4c2208f5,5384,37.38188510729996,37.9479925405065
4c3168cf,4334,4.398564145674671,3.413626509951256
4c3df468,5392,20.730613836474724,17.21708671526917
