well_id,n,anchor_rmse,pf_rmse,best_cand
000d7d20,3836,7.454442102844319,3.9527432053101754,1
00bbac68,6014,15.263052288602681,9.445556946193943,2
00e12e8b,4301,7.92458894231589,9.790822736827499,0
015fe0d2,4296,23.154889673287215,6.7463841389483274,2
01869cd4,5557,10.618593023436276,16.539091214889268,0
01982c1d,3941,6.33452473981023,6.877743332024108,2
028d7b28,6234,7.393605105422137,15.759351597542727,2
02e7fe5a,5108,8.414429717261077,5.4346079894886365,0
0390d174,4411,8.517417217402954,3.685471928109159,0
03a935ae,2786,35.05448621305352,1.8511040093449458,0
044af7d1,4519,9.868136513863366,1.9219982612971551,0
0498acab,4798,5.996139045372776,4.322061279741686,0
052d64df,2445,7.3962717049147795,2.133165300859141,0
05948241,3879,4.995769989509691,2.3732028369215707,2
059c8f24,6258,10.912174729109239,4.800924762789724,0
05a0ee4d,4348,18.344706956532814,9.536735926953918,2
060ab2b8,6258,9.048312196834127,2.4937406350341176,0
06df5958,3509,3.0884860085517194,2.7357945785656765,0
071d7b45,3211,17.11579247751261,12.403666919278091,0
0849b4e2,5537,14.567522114617379,4.0992555253072975,1
084d66f9,3885,10.693040191903986,3.7778211115859643,0
08fecf00,5574,4.759806836739511,5.5268095489806734,1
09053135,5907,13.261553626472297,7.123842511113822,0
09441b8d,5488,15.9390645279074,2.0865159047164816,1
0955cd6c,5195,8.023088122545198,4.961482261432449,0
09ec2ca9,5885,6.13281698431714,9.764417125389665,0
0a57a29c,5821,6.952723985070934,10.70230424695236,0
0bbf5e67,4298,18.377119492009776,1.8106594702349903,0
0be01c24,4738,8.273369324203173,2.3875331129305493,1
0c1b160c,5054,8.432276859497074,14.048041876201257,0
0d99f8e4,5823,9.343320012239094,4.247762548715698,0
0dc5e64d,4879,18.008822359134772,15.371971132007928,2
0dc835f3,4428,7.2297789729208715,5.054468503743553,0
0dd99dc5,7342,8.234632190411654,3.9599725256595555,0
0e5e560d,3253,10.293900986020363,8.024341262863217,1
109d9d70,4215,9.371137061320914,16.728591579548546,0
10a1281a,5609,3.5911852573850855,10.923102591688584,1
