well_id,n_rows,lgbm_rmse,anchor_rmse,anchor_wins_by,mean_pred_delta
000d7d20,3836,11.009175981193552,7.454442102844319,-3.554733878349233,3.9616521293655937
00bbac68,6014,17.197603088121188,15.263052288602681,-1.9345507995185063,8.930962700650557
00e12e8b,4301,6.7276395888713,7.92458894231589,1.19694935344459,2.327526551068033
015fe0d2,4296,12.705735074141097,23.154889673287215,10.449154599146118,12.24900758890181
01869cd4,5557,8.854458190062108,10.618593023436276,1.7641348333741682,4.202568883678575
01982c1d,3941,10.694062640118121,6.33452473981023,-4.359537900307891,6.699848294809916
028d7b28,6234,20.15793613332236,7.393605105422137,-12.764331027900223,15.430051926273247
02e7fe5a,5108,6.2582399142941885,8.414429717261077,2.156189802966889,10.53722055616932
0390d174,4411,34.08211063830628,8.517417217402954,-25.56469342090333,29.330910405267737
03a935ae,2786,31.21446262002176,35.05448621305352,3.8400235930317628,-5.143484771229117
044af7d1,4519,6.341512942666041,9.868136513863366,3.526623571197325,10.106812901665755
0498acab,4798,4.629141575306965,5.996139045372776,1.3669974700658107,6.331527851334413
052d64df,2445,4.953271553092709,7.3962717049147795,2.44300015182207,-1.453140959298949
05948241,3879,6.5602109761712475,4.995769989509691,-1.5644409866615563,2.7052928424150005
059c8f24,6258,10.027105329933379,10.912174729109239,0.88506939917586,8.37904419475025
05a0ee4d,4348,14.624607010326283,18.344706956532814,3.720099946206531,-4.529147601574771
060ab2b8,6258,4.430466504902511,9.048312196834127,4.617845691931616,8.685735051426118
06df5958,3509,4.474543232544933,3.0884860085517194,-1.3860572239932138,2.33868325663328
071d7b45,3211,5.712790914700656,17.11579247751261,11.403001562811955,11.492679230446258
0849b4e2,5537,10.147641844374796,14.567522114617379,4.419880270242583,-9.278794260096486
084d66f9,3885,11.347934739973379,10.693040191903986,-0.6548945480693931,-2.4831763895139
08fecf00,5574,6.524647309222669,4.759806836739511,-1.764840472483158,-5.958678415711536
09053135,5907,4.683074255888855,13.261553626472297,8.578479370583441,8.580589737111069
09441b8d,5488,12.61380579031879,15.9390645279074,3.3252587375886105,-3.2229786743774578
0955cd6c,5195,8.283842633000438,8.023088122545198,-0.26075451045523934,0.7161545392722458
09ec2ca9,5885,12.421092848195112,6.13281698431714,-6.288275863877972,9.022939548369596
0a57a29c,5821,4.984232177179577,6.952723985070934,1.9684918078913567,8.620887627126216
0bbf5e67,4298,8.036650342492024,18.377119492009776,10.340469149517752,-10.324169170167178
0be01c24,4738,6.811939864674873,8.273369324203173,1.4614294595283006,2.204984105744625
0c1b160c,5054,6.82345601936845,8.432276859497074,1.6088208401286241,-1.3801353025724994
0d99f8e4,5823,4.960202271348253,9.343320012239094,4.383117740890841,-4.312734943726089
0dc5e64d,4879,16.305853475476358,18.008822359134772,1.7029688836584143,12.080805120111295
0dc835f3,4428,21.361048002769447,7.2297789729208715,-14.131269029848575,16.558083455361167
0dd99dc5,7342,8.731078886720693,8.234632190411654,-0.4964466963090395,10.680933200183098
0e5e560d,3253,6.319774560971075,10.293900986020363,3.9741264250492883,4.5502423256671785
109d9d70,4215,10.696319092318447,9.371137061320914,-1.3251820309975333,-2.3651652612152296
10a1281a,5609,5.602700588073092,3.5911852573850855,-2.0115153306880065,0.32806532056405646
10b89021,5414,17.37445562464698,14.721334704881999,-2.653120919764982,1.8853490224275928
10be2420,3271,2.139949341143684,13.259451874685324,11.11950253354164,-11.801938862540585
113011eb,3272,6.313806504531688,5.177910618587731,-1.135895885943957,3.720630863788597
1131525f,4159,11.97945593274662,14.670165574890584,2.6907096421439647,3.1074304189773123
11d0f5ac,4883,12.464146697301828,22.169205194123972,9.705058496822144,9.10048728569761
12203f2a,3261,7.867616851725429,13.762320645487467,5.894703793762038,-5.417991157236288
122bd617,4570,6.796582502312331,11.670160284769418,4.873577782457087,6.21930317364932
125be846,6510,15.1284184876977,18.441379950265283,3.312961462567582,-4.048983993328214
1285a37b,5597,9.151039926062191,5.549117512133954,-3.6019224139282375,3.7430470650102707
1295a25b,5551,10.108743069953093,9.716800903498608,-0.3919421664544842,-1.0665907475371585
12f0cd90,5947,10.391479681963142,7.895034499573364,-2.4964451823897784,8.600081079908797
137d1e44,4554,21.390349154640134,25.010172511867026,3.619823357226892,8.296841915796914
13ce113d,2966,2.5575064127455067,3.381014512965784,0.8235081002202773,-0.04459185339386865
13f598d9,7306,5.194424447355194,15.16858992587756,9.974165478522366,12.921410123341662
14a53cb3,6919,5.625071750077226,8.94761773897247,3.3225459888952438,10.448154971503294
14ab73fb,3649,19.486451717047846,14.81915286795364,-4.667298849094205,4.543290185082266
14ad5efb,5842,8.406973912588711,6.298504340917485,-2.1084695716712263,2.3105801812500473
14fee784,4910,21.522523358950316,21.419815878785553,-0.10270748016476361,3.2149498536594896
153552f5,4695,3.8191275435788246,5.161441840641978,1.3423142970631536,-2.821733917502416
1550491d,4563,6.946562906633284,21.167156242041475,14.220593335408191,-15.141824509308256
155887bb,5585,5.937428600019239,11.793313793912793,5.855885193893553,5.657585615922682
1590af81,3799,3.4776989180394424,5.560887269871239,2.083188351831797,2.441885666526914
15e154a1,6068,4.209621955993772,23.22648490243106,19.01686294643729,20.620782732043153
1619e2ca,4443,6.217742271631513,7.812315673810556,1.5945734021790425,-0.6378273785386771
16e4a047,4131,21.892662670677964,10.715407020528387,-11.177255650149577,8.923346770143755
173ed841,4883,14.900216185624213,17.58051747694951,2.6803012913252964,2.7772814439540627
1770d7c6,7240,5.754492161628462,12.332849608315879,6.578357446687417,7.0368140618165596
177622d7,3154,10.673895821962958,9.800349606500166,-0.8735462154627918,2.5979504239535998
