vertical_shape,n_rows,n_wells,model_rmse,model_mae,model_bias,model_p95_abs_error,anchor_rmse,anchor_mae,anchor_bias,anchor_p95_abs_error,rmse_improvement_vs_anchor,mae_improvement_vs_anchor
downward,1123876,212,15.396863481054988,10.797018882444075,-0.3613559112340145,31.48010321308948,15.832162512443588,10.819041415600992,-3.9043463602744617,30.1200000000008,0.4352990313886007,0.02202253315691749
flat,1038848,255,15.516879501421473,10.757119680767545,-0.48441334600536073,32.53047454200713,16.20678837416286,11.240483776259904,-2.0519051969105275,34.14999999999782,0.6899088727413858,0.4833640954923588
upward,1621265,306,14.504448800987861,10.493143133922546,0.30569624773654086,28.63340320218407,15.770929466556804,11.42992721732721,0.2963246909049628,32.36000000000058,1.2664806655689436,0.9367840834046639
