curvature_shape,n_rows,n_wells,model_rmse,model_mae,model_bias,model_p95_abs_error,anchor_rmse,anchor_mae,anchor_bias,anchor_p95_abs_error,rmse_improvement_vs_anchor,mae_improvement_vs_anchor
curved,1262139,255,15.472505568349643,10.943930070201636,0.16491704383151085,30.8352159971153,15.83000993489302,10.98422265693399,-2.2836234836257927,30.56999999999789,0.35750436654337747,0.04029258673235425
smooth,2521850,518,14.841431293573534,10.511698716337783,-0.24659859922790534,30.596226270479605,15.949662699576677,11.302710403077114,-1.2518380038463504,33.06999999999971,1.108231406003144,0.7910116867393313
