well_id,n_rows,n_wells,model_rmse,model_mae,model_bias,model_p95_abs_error,anchor_rmse,anchor_mae,anchor_bias,anchor_p95_abs_error,rmse_improvement_vs_anchor,mae_improvement_vs_anchor,fold,hidden_length,known_length,final_delta_z_from_ps,trajectory_shape,vertical_shape,curvature_shape
000d7d20,3836,1,10.262690479442758,8.428608529128915,8.263836893911112,15.953061351619453,7.454442102844319,6.134966110532169,5.445565693431345,11.8700000000008,-2.8082483765984394,-2.293642418596747,0,3836,1442,100.03000000000065,flat_smooth,flat,smooth
00bbac68,6014,1,13.175451329723893,9.98995542331566,3.048607739436347,27.864304803526466,15.263052288602681,12.104334885267482,2.521854007316989,32.46350000000038,2.087600958878788,2.114379461951822,2,6014,1545,176.5,upward_curved,upward,curved
00e12e8b,4301,1,11.57585022177473,10.733792300445147,-10.68056453491063,17.02557854661063,7.92458894231589,6.519876772843751,0.7603417809825593,14.910000000001673,-3.651261279458839,-4.213915527601396,2,4301,2083,144.8199999999997,upward_curved,upward,curved
015fe0d2,4296,1,21.019795827216925,17.67242413058769,-17.424737818808644,33.596248661454865,23.154889673287215,19.800242085660624,-19.749576350092607,36.002500000000055,2.1350938460702906,2.127817955072935,0,4296,1654,-176.89999999999964,downward_smooth,downward,smooth
01869cd4,5557,1,9.531230317815739,7.797117669217395,-1.2270337027365636,18.120125573701443,10.618593023436276,8.635673924779429,-4.467759582508185,18.983999999999646,1.0873627056205368,0.8385562555620334,0,5557,1293,-213.75,downward_curved,downward,curved
01982c1d,3941,1,6.7250874929961055,5.249983966201462,3.5167463803164183,16.359721364149664,6.33452473981023,5.776277594519081,2.9473560010147337,10.430000000000291,-0.3905627531858755,0.5262936283176192,3,3941,1646,160.0,upward_curved,upward,curved
028d7b28,6234,1,15.035371907492477,12.016616503126158,11.945854905690663,26.736222234711565,7.393605105422137,5.793652550529349,1.806828681424373,15.760000000000218,-7.64176680207034,-6.2229639525968095,4,6234,1527,-236.9499999999989,downward_curved,downward,curved
02e7fe5a,5108,1,6.7044717152830335,5.2777543670701315,4.810562591319168,13.927236622131835,8.414429717261077,6.944919733751464,-6.604598668755465,18.34650000000092,1.7099580019780438,1.6671653666813322,4,5108,1780,79.11000000000058,flat_smooth,flat,smooth
0390d174,4411,1,42.380757528843425,38.4316917078312,38.4316917078312,56.83539492120417,8.517417217402954,7.240213103604261,1.676087055088481,17.18000000000029,-33.86334031144047,-31.191478604226937,1,4411,1690,-177.95000000000073,downward_curved,downward,curved
03a935ae,2786,1,37.70688060603575,33.97247760151893,33.97247760151893,55.676548256561546,35.05448621305352,31.036238334529738,31.036238334529738,52.654999999999745,-2.652394392982231,-2.936239266989194,0,2786,1644,91.84000000000015,flat_curved,flat,curved
044af7d1,4519,1,6.993362377494154,5.9393269059869525,-4.2502477132247085,12.243670825303337,9.868136513863366,8.178508519583561,-7.904093826067218,16.802999999999322,2.8747741363692123,2.2391816135966085,1,4519,1548,-136.46000000000095,downward_smooth,downward,smooth
0498acab,4798,1,5.280780621186064,4.277177104739527,-0.5010297849739505,10.541886799513483,5.996139045372776,4.847002917882889,-2.889470612756329,13.253000000000059,0.7153584241867117,0.5698258131433613,0,4798,1634,-137.14999999999964,downward_curved,downward,curved
052d64df,2445,1,7.892724087548288,6.421055048437911,5.573686406803744,14.030727502153965,7.3962717049147795,5.660822085889979,-0.5179672801621039,15.063999999998115,-0.49645238263350855,-0.7602329625479323,1,2445,2145,76.92000000000007,flat_smooth,flat,smooth
05948241,3879,1,3.607631325498266,2.765637571540731,2.252740065631254,7.54902483010428,4.995769989509691,4.229989688063631,3.152897654033911,10.38099999999922,1.388138664011425,1.4643521165228996,4,3879,1549,154.1200000000008,upward_smooth,upward,smooth
059c8f24,6258,1,14.207954747446166,12.959115550766104,-3.821741709526635,21.5380651618202,10.912174729109239,9.025370725470564,-7.923155960369353,18.22599999999919,-3.2957800183369272,-3.9337448252955394,3,6258,1740,-222.67000000000007,downward_smooth,downward,smooth
05a0ee4d,4348,1,14.183561352666867,10.024402019813657,6.808830005166878,29.106166435365957,18.344706956532814,12.701789328426742,12.527079116835182,38.66649999999999,4.161145603865947,2.677387308613085,3,4348,1750,191.4400000000005,upward_smooth,upward,smooth
060ab2b8,6258,1,5.444993918465205,4.2754801917592005,1.8159202742290053,11.475682475148911,9.048312196834127,7.921228827101297,-6.731267178012116,16.51000000000022,3.6033182783689215,3.6457486353420965,4,6258,1560,148.28000000000065,upward_smooth,upward,smooth
06df5958,3509,1,3.7958094887167872,2.968929112758306,2.2897392601129543,7.847043073375971,3.0884860085517194,2.412080364776067,0.9089512681666895,6.279999999998836,-0.7073234801650679,-0.5568487479822388,0,3509,1530,-131.15999999999985,flat_smooth,flat,smooth
