hidden_length_bin,n_rows,n_wells,model_rmse,model_mae,model_bias,model_p95_abs_error,anchor_rmse,anchor_mae,anchor_bias,anchor_p95_abs_error,rmse_improvement_vs_anchor,mae_improvement_vs_anchor
200-499,407,1,1.765701081889949,1.5622455152204195,-0.014721940733508177,2.8071569473415363,2.555309739035002,2.072039312039204,1.1741523341520774,4.0899999999983265,0.7896086571450529,0.5097937968187845
500-999,911,1,3.049901886475194,2.7008494784090598,2.7008494784090598,4.8576980742464,3.6011694039210935,2.949198682765599,-2.949198682765599,7.599999999999454,0.5512675174458996,0.2483492043565394
1000-1999,7087,4,9.451800866547783,6.756853889686461,6.120555676732558,17.36180424812064,15.319531904328347,10.112888387187498,10.000697050937967,36.68099999999903,5.867731037780564,3.356034497501037
2000+,3775584,767,15.065962943030748,10.666086685226686,-0.12172085293411296,30.710841542289245,15.913596427955245,11.201487226876695,-1.6177269609151577,32.340000000000146,0.8476334849244971,0.5354005416500094
