trajectory_shape,n_rows,n_wells,model_rmse,model_mae,model_bias,model_p95_abs_error,anchor_rmse,anchor_mae,anchor_bias,anchor_p95_abs_error,rmse_improvement_vs_anchor,mae_improvement_vs_anchor
downward_curved,376762,69,16.316224041955717,11.215312235140077,0.3133520599088879,34.68396716443749,15.847869233359443,10.39983944771501,-4.353794411325799,27.93999999999869,-0.4683548085962741,-0.8154727874250671
downward_smooth,747114,143,14.911755447139218,10.586077794272189,-0.7016042864802853,30.38359454100763,15.824235859355154,11.030440709182233,-3.677694274233771,31.7599999999984,0.9124804122159365,0.44436291491004454
flat_curved,345147,83,15.872797775177416,11.450108465985297,-1.408216961265659,33.252366715145605,16.580397819268875,11.898537550666846,-3.3078604188941307,37.660000000001126,0.7076000440914587,0.44842908468154974
flat_smooth,693701,172,15.336717533824297,10.412327039194945,-0.024780094220735197,32.19145121515612,16.017654920524233,10.913072851271709,-1.4270117961485642,32.5,0.6809373866999362,0.5007458120767634
upward_curved,540230,103,14.583451175190815,10.431273531327298,1.0664549238639571,27.849362619830572,15.318506356292243,10.807631841993228,-0.18549112415080576,27.980000000001382,0.7350551811014281,0.37635831066593006
upward_smooth,1081035,203,14.464806932519178,10.524061481071364,-0.07448076744272183,29.124243310605898,15.992225146625186,11.74090940626344,0.5371044600776332,34.06999999999971,1.5274182141060084,1.2168479251920754
