bias60,bias70,bias80,well_id,c_oracle,known_n,bias_mean
4.9806239194492345,-61.297119247481,-6.75434096958263,000d7d20,-9.0,1442,-21.023612099204797
275.4135819824088,329.8204979629604,99.08625596489985,00bbac68,-10.0,1545,234.77344530342302
760.5428167247709,543.8687477811405,-14.066342923914297,00e12e8b,2.5,2083,430.1150738606657
261.20008756812234,-353.70727151416884,54.40207624192932,015fe0d2,10.0,1654,-12.701702568039059
6.656314376158588,-60.520637882534935,-28.950685329619006,01869cd4,1.5,1293,-27.60500294533178
781.9834677742908,-23.504946857308717,-29.89780921153571,01982c1d,-9.0,1646,242.86023723514882
451.65556832342105,-131.6410540619348,-3.5764290967168932,028d7b28,-14.5,1527,105.4793617215898
1348.690916266042,-136.8541451129981,-9.98294057201964,02e7fe5a,-5.0,1780,400.61794352700804
309.49352480435545,63.52632331472172,-48.207861458790795,0390d174,-13.0,1690,108.27066222009546
1296.2802830783673,-61.484764674939974,-112.06812989607025,03a935ae,-26.5,1644,374.2424628357857
51.19889517932607,-26.797187044265083,-11.508919567392313,044af7d1,-1.5,1548,4.297596189222892
831.8919019667057,55.64576026401862,-17.75479237633171,0498acab,0.0,1634,289.92762328479756
982.3266446983345,87.32481670789856,-28.985097531822444,052d64df,0.5,2145,346.88878795813685
659.8488427341691,2078.518527737575,5.529486203945453,05948241,-3.5,1549,914.6322855585631
412.47202585145874,-24.53435115840269,38.56732948377577,059c8f24,-4.5,1740,142.1683347256106
1044.3990894580302,-194.49857382603065,8.322456571269957,05a0ee4d,-11.5,1750,286.0743240677565
455.2237145785616,-231.62221686735865,272.7989566467707,060ab2b8,-0.5,1560,165.46681811932456
274.0969482860412,31.861875363142776,-81.47292375603547,06df5958,-5.0,1530,74.82863329771617
378.3566909033995,-83.71411030744075,-1.2617791438032273,071d7b45,5.0,1509,97.79360048405185
1370.5199473930977,47.169256594334826,3.8095657982831796,0849b4e2,-2.0,1899,473.83292326190525
1332.8317897853303,-48.19762142091253,10.466799059948452,084d66f9,6.0,1747,431.7003224747887
-8683.209330618078,-149.9216340869541,3.4762082324986983,08fecf00,2.5,1831,-2943.218252157511
1356.7236854691103,-96.15442279117529,-10.510531223453528,09053135,7.5,1808,416.68624381816056
-2258.725835880674,-106.87415048392444,-30.005495493784395,09441b8d,-8.5,1907,-798.535160619461
361.0333354889005,124.94986071199207,-93.77900701946308,0955cd6c,-10.0,1930,130.73472972714316
131.52053784035462,-10.797304558865326,7.117892709502555,09ec2ca9,-5.0,1939,42.61370866366395
45.063343173156674,-17.22219084620061,0.3633387594014824,0a57a29c,-4.0,1373,9.40149702878585
767.7235834368987,26.77872823005301,90.73025594903741,0bbf5e67,-6.5,1733,295.07752253866306
2783.6843688731474,-47.48498139175074,93.34939712473678,0be01c24,2.5,1647,943.1829282020444
-155.2651430772147,-41.33566939982947,-25.822773457488825,0c1b160c,3.0,1660,-74.141195311511
70.62523104658212,93.3262517965312,2.578833985339021,0d99f8e4,-3.0,1699,55.51010560948411
-317.8497642828494,100.56174307446578,12.994126479278648,0dc5e64d,-3.5,1312,-68.09796490970166
5.646543259587674,146.92728618140475,21.61567251518087,0dc835f3,-13.5,851,58.06316731872443
683.4738465441837,-101.56000048013951,89.41335813148916,0dd99dc5,-4.5,1840,223.7757347318445
1354.2673651226828,113.65042091061103,-72.54762997372208,0e5e560d,2.5,1643,465.1233853531906
380.5428011179723,-35.536228429156054,17.43647304580206,109d9d70,8.0,1636,120.81434857820612
425.57157951981674,-1798.0819701662572,-11.609481039751032,10a1281a,2.0,1744,-461.37329056206386
2581.578747265129,-20.495374592657974,-13.263730692146636,10b89021,-18.5,1752,849.2732139934416
1337.753748838566,-15.290240212882903,-20.209987412065473,10be2420,0.0,1932,434.0845070712059
-65.4023574543715,-238.19819598067795,-2.073882597932798,113011eb,-5.5,1289,-101.89147867766076
57.52163269086741,-19.286753599088733,8.589262590085088,1131525f,8.0,1389,15.608047227287921
270.60442979822244,54.35482181856494,-48.17756205140936,11d0f5ac,14.5,1495,92.26056318845933
1090.5720255756905,-30.847154945611475,42.42257377449094,12203f2a,-2.5,1730,367.38248146819
640.7770609079823,85.98053059490417,-59.16752717513511,122bd617,2.5,1838,222.5300214425838
-129.2961989862476,15.198708392793675,11.296801989216162,125be846,-13.0,1523,-34.266896201412585
5134.334538638772,57.38673736464521,83.03391047514819,1285a37b,-7.0,1806,1758.2517288261886
382.71742989759946,-65.05992210268393,-20.136395930533325,1295a25b,4.5,1486,99.17370395479406
152.6380238758226,94.5843626027814,-75.00207912317873,12f0cd90,-7.0,1484,57.40676911847509
959.996854045004,33.961956745671365,-31.599627690177417,137d1e44,10.5,1759,320.78639436683267
2844.5214284018716,-53.10230652923526,132.20986204344862,13ce113d,5.0,1909,974.542994638695
220.85383496762594,-2070.938859638148,11.45559977758983,13f598d9,1.0,1628,-612.8764749643108
702.8416167436632,-109.58684963865852,-30.685351881175933,14a53cb3,1.0,1861,187.52313840794292
708.2260029703627,-87.83374300305114,48.244188326402785,14ab73fb,-18.5,1630,222.87881609790477
37.22438697675533,-59.96525677717284,1.0127725249456139,14ad5efb,-3.0,1510,-7.242699091823964
680.1181306497915,-14.75385579335494,-33.187064036596304,14fee784,-16.5,1496,210.72573693994676
313.9661149383726,-98.18098417001741,-2.453711909801155,153552f5,2.5,1803,71.11047295285134
-8.54787619815457,81.13986506532667,-20.973400168260724,1550491d,-4.5,1366,17.20619623297046
-140.5193668346258,641.8024374658899,234.27619398667122,155887bb,4.5,1477,245.18642153931174
-1931.321479983219,191.30333431833688,-75.52931047139501,1590af81,-1.0,1432,-605.182485378759
668.2935883908664,71.80739594675079,21.89695799171625,15e154a1,2.5,1631,253.99931410977783
1359.0133223465455,-147.03408119644115,2.684414644809889,1619e2ca,2.0,1559,404.88788526497143
159.4652604111322,294.65630011710164,193.72798696833047,16e4a047,-20.5,1553,215.94984916552144
307.2303961359387,-25.609612968496812,-34.82608612480308,173ed841,13.5,1647,82.26489901421293
458.825383416073,56.45145784430015,4.088353515878807,1770d7c6,5.0,1881,173.121731592084
180.76280427358998,15.914880900497867,25.370724532994444,177622d7,-11.0,1545,74.01613656902744
300.17852694118795,86.28353383646976,-0.020439882698393374,18d24f7b,-6.5,1702,128.8138736316531
160.12300776953512,26.661693435264116,46.09525500516318,19137a89,4.0,1691,77.62665206998747
1446.3922790682213,-18.732216299329284,6.214312718019552,1944513c,5.0,1877,477.9581251623038
782.4210987482878,-306.36108891230776,48.467197834621274,197f8a5a,20.5,1938,174.8424025568671
1049.4815549125806,60.67168633400694,24.47267968140816,19871e7f,-5.0,1859,378.2086403093319
1246.6052695555647,-24.392598642886856,7.513075520495309,198a5607,-5.5,1843,409.908582144391
1252.0431806999663,207.64369104344584,4.465551281681235,19fb4f7b,3.0,2303,488.05080767503114
224.53006954154822,89.86055628411867,-92.97492098990875,1a518997,8.0,1938,73.80523494525272
884.5279036401331,186.19031360098057,15.156885047567673,1a68190b,13.0,2028,361.95836742956044
29.465791206904683,-87.13805253800051,-8.884072347035334,1a730ac2,5.0,1444,-22.18544455937705
