w_pf,tau,alpha,pool_cv,fold_cvs,fold_std
0.09,150.0,0.95,578.778850849243,"[578.7970109467573, 579.1289651542828, 576.6405887806344, 577.7415432903429, 581.5753822938476]",1.6487356616756843
0.09,150.0,1.0,11.020764086150038,"[10.066707749330826, 10.958227874745461, 10.70385653017296, 10.853725179222547, 12.390868776446867]",0.763708178165959
0.09,150.0,1.05,577.6357552240881,"[576.1529602524647, 577.8389565117076, 576.2856691092537, 578.0382296246997, 579.8574082613059]",1.3535454114151089
0.09,300.0,0.95,578.7700455146368,"[578.7706960432444, 579.1224402396537, 576.6371737760619, 577.7408333379836, 581.5683689269177]",1.6470089847718417
0.09,300.0,1.0,11.000411267413128,"[10.043194670950873, 10.942583433475956, 10.68586588261407, 10.834978624531542, 12.365253065947211]",0.7622752998164911
0.09,300.0,1.05,577.6446918471647,"[576.1813155292299, 577.8455616901418, 576.2887447553386, 578.0382753422256, 579.8640344541632]",1.3491326785599422
0.15,,0.95,578.288332594642,"[577.9083597055337, 579.9861260794895, 576.3917803065881, 576.4843209161161, 580.6595766019046]",1.760739760790038
0.15,,1.0,12.290568335816774,"[11.544008274944154, 12.310411937267842, 12.390397801541479, 12.383153179313785, 12.792489599911946]",0.4069395088891799
0.15,,1.05,578.2322487188046,"[577.1961414235242, 576.9452320606026, 576.6316404359083, 579.4883044474994, 580.8892107717389]",1.6690702481028847
0.15,50.0,0.95,578.7811864073312,"[578.8073597898464, 579.133853360833, 576.6393682749097, 577.739903771196, 581.5746630654113]",1.6492545011617108
0.15,50.0,1.0,11.024717929895003,"[10.070874631340413, 10.960598232669517, 10.70778871470026, 10.85677188675579, 12.396906615466149]",0.7644692670705923
0.15,50.0,1.05,577.633327142524,"[576.1416222736499, 577.8336360573273, 576.2871723202283, 578.0401609415536, 579.8584765628796]",1.3560411030765938
0.15,85.0,0.95,578.7807007708496,"[578.8049603104971, 579.1322656094688, 576.6397999619915, 577.7402752333088, 581.5754220240627]",1.6492769065231059
0.15,85.0,1.0,11.024152893111593,"[10.070300770714654, 10.960515788275432, 10.707265957704323, 10.856445741834015, 12.39566980679604]",0.7642088325167471
0.15,85.0,1.05,577.6338423183591,"[576.144265524423, 577.8353916000477, 576.286674503267, 578.0397377274367, 579.8575797045183]",1.3552914902235704
0.15,150.0,0.95,578.7790521979648,"[578.7977908917964, 579.1294259457069, 576.6405316330848, 577.7414726915454, 581.5752749542298]",1.6487445445831639
0.15,150.0,1.0,11.020604389234276,"[10.06667867973366, 10.95772093644295, 10.7036975997857, 10.853554497150398, 12.390917257371804]",0.7637562344538
0.15,150.0,1.05,577.6355258419,"[576.1520931840487, 577.8384258902761, 576.2857261121748, 578.0383008847199, 579.8575294268663]",1.3537519483536784
0.15,300.0,0.95,578.770816250735,"[578.7732021740594, 579.1233183680874, 576.6373326029791, 577.740799667874, 581.5687089662489]",1.6471266337278392
0.15,300.0,1.0,11.000942033602614,"[10.044147220896601, 10.942352468567952, 10.686344319867217, 10.835460932958187, 12.366208402827716]",0.7623393972908389
0.15,300.0,1.05,577.6438595468325,"[576.1785680034778, 577.8445797961082, 576.2885877340768, 578.0383315230454, 579.8637002991891]",1.3496239921377793
0.2,,0.95,578.3118359971241,"[577.9568353783496, 579.9304957033166, 576.400606043203, 576.5526834851671, 580.7072364567654]",1.7453607020454553
0.2,,1.0,11.9252373830935,"[11.206261956747076, 11.933910844864677, 11.99448491358964, 12.003662007955887, 12.455236032919704]",0.40215224609560574
0.2,,1.05,578.1902020064226,"[577.1285127881514, 576.9904252580883, 576.6043093225926, 579.3963569751083, 580.8211574843585]",1.6406352048455275
0.2,50.0,0.95,578.7812328928879,"[578.8074498616869, 579.1339826026154, 576.6393929533292, 577.7399408533074, 581.5746146087032]",1.6492328688611175
0.2,50.0,1.0,11.024589441742652,"[10.070794728489103, 10.960339615848683, 10.707646552001162, 10.856654208108619, 12.396854650787697]",0.764487405146324
0.2,50.0,1.05,577.6332705117912,"[576.1415193268874, 577.8334825881383, 576.2871394803483, 578.0401153358598, 579.8585279457841]",1.3560798195637886
0.2,85.0,0.95,578.7807747290543,"[578.8051907822031, 579.1324866501934, 576.639798183929, 577.7402895165574, 581.5753278082275]",1.649253839220887
0.2,85.0,1.0,11.023993980353225,"[10.070207072474673, 10.960168421585779, 10.707091099282783, 10.856291337283412, 12.395632650803611]",0.764240437376992
0.2,85.0,1.05,577.633754043826,"[576.14400617683, 577.835132906919, 576.2866696472176, 578.0397158590207, 579.8576824782892]",1.3553741190229567
0.2,150.0,0.95,578.779220681701,"[578.7984413204895, 579.129810940809, 576.6404846696322, 577.7414144534449, 581.575186238614]",1.6487520537958622
0.2,150.0,1.0,11.020511644861196,"[10.066684735243955, 10.957357181143202, 10.703604524570775, 10.853447309319398, 12.390995834575577]",0.7637980591726075
0.2,150.0,1.05,577.6353355384875,"[576.1513712093321, 577.8379849328114, 576.2857744207615, 578.0383609936147, 579.8576312975616]",1.3539242153633881
0.2,300.0,0.95,578.7714604301153,"[578.7752920467665, 579.1240525327806, 576.6374666094068, 577.7407732693164, 581.568994688497]",1.647225330831395
0.2,300.0,1.0,11.001495079148286,"[10.045032791319917, 10.94230026982371, 10.686841691748837, 10.835960900740824, 12.367127237294843]",0.7624031196150636
0.2,300.0,1.05,577.6431682879928,"[576.1762801540691, 577.8437644783822, 576.2884589007157, 578.0383803670538, 579.8634247234905]",1.3500342408557922
