w_pf,tau,alpha,pool_cv,fold_cvs,fold_std
0.0,,0.95,578.2219780714702,"[577.7663118270711, 580.1572308461554, 576.3696281676016, 576.2833935935009, 580.5211960018523]",1.8126510219669911
0.0,,1.0,13.525189459235134,"[12.67569974818403, 13.578981876500936, 13.711678916059613, 13.655822937875785, 13.969218727979934]",0.4412013452936698
0.0,,1.05,578.3634528897132,"[577.4031402121108, 576.8148477879686, 576.7189073341219, 579.7691702544644, 581.0989640103014]",1.7597693454793604
0.0,50.0,0.95,578.7810480737196,"[578.8070902727957, 579.1334675900916, 576.6392954301784, 577.7397934930423, 581.5748092404544]",1.6493193381452063
0.0,50.0,1.0,11.025168712496477,"[10.071158820602541, 10.96148848230789, 10.708286227791627, 10.857182001302617, 12.397104349359259]",0.7644107498301026
0.0,50.0,1.05,577.6334984093744,"[576.1419319711348, 577.8340988579902, 576.2872722951104, 578.0402989407513, 579.8583234003728]",1.3559249570627179
0.0,85.0,0.95,578.7804808399493,"[578.8042701533423, 579.1316056405645, 576.6398072840492, 577.7402340628554, 581.5757063123588]",1.6493461361357962
0.0,85.0,1.0,11.024742687078673,"[10.070662006991043, 10.961742444902814, 10.707909131814512, 10.857007958007584, 12.39586657642811]",0.7641113484256982
0.0,85.0,1.05,577.63410952111,"[576.1450451110061, 577.8361715400488, 576.2866915012992, 578.0398053830534, 579.857273393548]",1.3550437446026053
0.0,150.0,0.95,578.7785505274929,"[578.7958421938712, 579.1282764272187, 576.6406761207436, 577.7416506471045, 581.5755451050708]",1.648722599463111
0.0,150.0,1.0,11.021102633980892,"[10.066825676913533, 10.959132324762136, 10.70419154825048, 10.8540672226365, 12.390889761861672]",0.7636404772546637
0.0,150.0,1.05,577.6361013798313,"[576.1542622843551, 577.8397554557245, 576.2855855836118, 578.0381245155514, 579.8572287205723]",1.3532359814559938
0.0,300.0,0.95,578.7688940724227,"[578.7669403579595, 579.1211289158471, 576.6369395873169, 577.7408879173669, 581.5678646511818]",1.6468341232698733
0.0,300.0,1.0,10.999886977173182,"[10.04199119100544, 10.943274157436232, 10.685390461493128, 10.834495849702295, 12.364121358833945]",0.7622045208076438
0.0,300.0,1.05,577.6459460038911,"[576.1854411264607, 577.847041716347, 576.2889852397394, 578.0381960455227, 579.864542772343]",1.3483977242038019
0.05,,0.95,578.2434035510914,"[577.813097790618, 580.0994938567742, 576.3762913397305, 576.349675727299, 580.5665561902327]",1.7944111680405153
0.05,,1.0,13.092662129984063,"[12.280498995701148, 13.135124759202228, 13.251158170433094, 13.211331572443202, 13.551784892812364]",0.42689246854737545
0.05,,1.05,578.3188743500831,"[577.3334553800573, 576.8574431278811, 576.6889395726664, 579.6747114910216, 581.0281143690052]",1.7286854867592938
0.05,50.0,0.95,578.7810939977475,"[578.8071799954007, 579.1335958545708, 576.639319513334, 577.7398300910635, 581.574760381287]",1.649297735808294
0.05,50.0,1.0,11.025007565700898,"[10.071056677598143, 10.96117266739793, 10.70810855312585, 10.857035783699635, 12.39703146485727]",0.7644309380470107
0.05,50.0,1.05,577.6334410913151,"[576.1418285957739, 577.8339441922535, 576.2872387276093, 578.0402527439993, 579.8583742901737]",1.355963671817251
0.05,85.0,0.95,578.780553826297,"[578.8044999960665, 579.1318251046539, 576.6398045120515, 577.7402475064578, 581.5756112761286]",1.6493230549889353
0.05,85.0,1.0,11.024527247434063,"[10.070528238425394, 10.961302803246696, 10.707674975102758, 10.85680405301295, 12.39578676980951]",0.7641442851716226
0.05,85.0,1.05,577.6340200570014,"[576.1447849915114, 577.8359109166133, 576.2866854303078, 578.0397824894529, 579.8573751621475]",1.3551263029943181
0.05,150.0,0.95,578.7787171208605,"[578.7964913284858, 579.1286586889097, 576.6406273586407, 577.7415907883756, 581.5754543874585]",1.6487298174089615
0.05,150.0,1.0,11.020899885268872,"[10.066749150857497, 10.958608514734344, 10.703991113097517, 10.853864455173715, 12.390864220792029]",0.763677437937328
0.05,150.0,1.05,577.6359087625724,"[576.1535387215623, 577.8393111517352, 576.2856316935996, 578.0381826456882, 579.8573281383713]",1.3534078313546785
0.05,300.0,0.95,578.7695330718828,"[578.7690263296419, 579.1218565596123, 576.6370690919334, 577.7408569918992, 581.5681439475883]",1.646931029670258
0.05,300.0,1.0,11.000137971576304,"[10.042626401784249, 10.942839420885658, 10.685618695601665, 10.83472839839925, 12.364705443253946]",0.7622400793765404
0.05,300.0,1.05,577.6452484047892,"[576.1831484896925, 577.8462184151019, 576.2888509035901, 578.0382393622795, 579.8642593236192]",1.3488057334019916
0.09,,0.95,578.2610426978777,"[577.8509321983898, 580.0538096939426, 576.382140914797, 576.4032009250305, 580.6033964018974]",1.7804856319430875
0.09,,1.0,12.761164626140449,"[11.976786798161205, 12.794558261772627, 12.89661481733455, 12.869752922024867, 13.235328115480222]",0.41740099762947375
0.09,,1.05,578.2838190107051,"[577.2782008134336, 576.8921430368256, 576.6655980578212, 579.5997468794352, 580.9721055234851]",1.7044174380971702
0.09,50.0,0.95,578.7811308717364,"[578.8072518573011, 579.133698700707, 576.639338922722, 577.739859485662, 581.5747213905432]",1.6492804467440196
0.09,50.0,1.0,11.024886486004242,"[10.070980300674396, 10.960933741844531, 10.707974935851706, 10.85692565869631, 12.396978177930563]",0.7644465976478241
0.09,50.0,1.05,577.6333954018262,"[576.1417459983487, 577.8338207468354, 576.2872120482376, 578.0402159284516, 579.8584151203595]",1.3559946440434136
0.09,85.0,0.95,578.7806124486207,"[578.8046840212018, 579.1320010543184, 576.639802532998, 577.7402584628549, 581.5755354440391]",1.649304593387694
0.09,85.0,1.0,11.024368461418687,"[10.070430840095058, 10.960973233328623, 10.707501880435867, 10.856652808484561, 12.39573316050262]",0.7641703171456232
0.09,85.0,1.05,577.6339487712119,"[576.1445770811717, 577.835702881138, 576.286680865101, 578.0397644206168, 579.8574568182682]",1.3551923666200998
