well_id,n,anchor_rmse,viterbi_rmse
000d7d20,3836,7.454442102844319,7.400555884414396
00bbac68,6014,15.263052288602681,22.393294854108156
00e12e8b,4301,7.92458894231589,15.240336349887203
015fe0d2,4296,23.154889673287215,30.09984302052603
01869cd4,5557,10.618593023436276,4.692681029607201
01982c1d,3941,6.33452473981023,5.677399218642637
028d7b28,6234,7.393605105422137,8.804831422823748
02e7fe5a,5108,8.414429717261077,6.627039971973277
0390d174,4411,8.517417217402954,12.274249872383358
03a935ae,2786,35.05448621305352,31.205940841294595
044af7d1,4519,9.868136513863366,11.850749898541146
0498acab,4798,5.996139045372776,2.9944951996330613
052d64df,2445,7.3962717049147795,5.727548392903169
05948241,3879,4.995769989509691,5.899215132994725
059c8f24,6258,10.912174729109239,6.282518188390774
05a0ee4d,4348,18.344706956532814,25.928002148260067
060ab2b8,6258,9.048312196834127,4.92074102000929
06df5958,3509,3.0884860085517194,4.98728674698023
071d7b45,3211,17.11579247751261,9.80703293330022
0849b4e2,5537,14.567522114617379,26.55031080066777
084d66f9,3885,10.693040191903986,9.993006907470344
08fecf00,5574,4.759806836739511,8.027808821710673
09053135,5907,13.261553626472297,27.217264685979654
09441b8d,5488,15.9390645279074,12.702121085299334
0955cd6c,5195,8.023088122545198,4.529786648809593
09ec2ca9,5885,6.13281698431714,6.452358955587911
0a57a29c,5821,6.952723985070934,9.533704787295624
0bbf5e67,4298,18.377119492009776,9.258697601193536
0be01c24,4738,8.273369324203173,5.933740944430673
0c1b160c,5054,8.432276859497074,9.594769043371699
0d99f8e4,5823,9.343320012239094,11.662115935899156
0dc5e64d,4879,18.008822359134772,24.875649230034632
0dc835f3,4428,7.2297789729208715,10.548133633404097
0dd99dc5,7342,8.234632190411654,3.6006519431471506
0e5e560d,3253,10.293900986020363,18.020488434341488
109d9d70,4215,9.371137061320914,17.51686836168124
10a1281a,5609,3.5911852573850855,13.778594987732612
10b89021,5414,14.721334704881999,22.587002186815635
10be2420,3271,13.259451874685324,7.168031981123526
113011eb,3272,5.177910618587731,5.936601724612779
1131525f,4159,14.670165574890584,7.744745125683338
11d0f5ac,4883,22.169205194123972,20.024601071811407
12203f2a,3261,13.762320645487467,17.70822649382394
122bd617,4570,11.670160284769418,8.886359001411622
125be846,6510,18.441379950265283,10.113995405980601
1285a37b,5597,5.549117512133954,4.575490530705259
1295a25b,5551,9.716800903498608,5.783040949132699
12f0cd90,5947,7.895034499573364,7.890812230433663
137d1e44,4554,25.010172511867026,30.61286299593836
13ce113d,2966,3.381014512965784,4.024829151226501
13f598d9,7306,15.16858992587756,21.374600193326746
14a53cb3,6919,8.94761773897247,2.825591591538613
14ab73fb,3649,14.81915286795364,9.909738816117695
14ad5efb,5842,6.298504340917485,10.869256768098309
14fee784,4910,21.419815878785553,21.031220683592526
153552f5,4695,5.161441840641978,6.959955479518661
1550491d,4563,21.167156242041475,18.67930808976256
155887bb,5585,11.793313793912793,3.8417237160053976
1590af81,3799,5.560887269871239,7.834953707914397
15e154a1,6068,23.22648490243106,14.558452854118581
