fold,n_wells,mean_d_rmse,median_d_rmse,n_worse,n_better
0,155,-0.05994104081880789,-0.10478162360217791,75,80
1,155,0.09901020052549486,0.04167620725556098,81,74
2,154,0.13592729547947824,0.2160095416179364,83,71
3,155,0.05067674873881006,0.0806097579246412,82,73
4,154,0.16628321246816338,0.22832591126251534,87,67
