corr_bin,n_wells,mean_d_rmse,mean_rmse_e8,mean_rmse_e9b
corr<0,0,,,
0-0.60,8,1.0880424094984762,9.788851273083877,10.876893682582352
0.60-0.85,89,0.30016195227863063,10.151900998665639,10.452062950944269
0.85-1.0,57,-0.2541394653499348,12.886964828749825,12.63282536339989
