corr_bin,n_wells,mean_d_rmse,mean_rmse_e8,mean_rmse_e9b
corr<0,0,,,
0-0.60,7,0.9411721590541573,13.705035407080235,14.646207566134393
0.60-0.85,95,0.1589431262913702,10.747675507652797,10.906618633944168
0.85-1.0,52,0.07538101171226709,11.145605345701945,11.220986357414212
