well_id,fold,n_rows,rmse_e8,mae_e8,rmse_e9b,mae_e9b,d_rmse,d_mae,tw_known_gr_corr,n_known_gr,tw_group_size,shares_typewell
000d7d20,0,3836,11.009175981193476,9.47600147514116,8.448826406508433,7.228540735539439,-2.560349574685043,-2.2474607396017214,0.7717465359386879,1000,1,False
00bbac68,2,6014,17.197603088121237,11.596883217841622,16.81222476324806,10.889217813970971,-0.3853783248731766,-0.7076654038706511,0.8274244590661899,1435,1,False
00e12e8b,2,4301,6.7276395888713845,5.517291136156415,4.947235954816491,3.9623925923564403,-1.7804036340548937,-1.554898543799975,0.933478572648237,1917,1,False
015fe0d2,0,4296,12.70573507414104,11.113228293162265,13.9536464249192,11.451903160185191,1.2479113507781587,0.3386748670229256,0.8614070850249455,1517,1,False
01869cd4,0,5557,8.854458190062198,7.400873476574597,7.440613924236295,6.209042477695164,-1.4138442658259027,-1.1918309988794338,0.7851193040652017,866,1,False
01982c1d,3,3941,10.69406264011812,9.667651613092191,9.130383850306396,8.255101143705575,-1.563678789811723,-1.4125504693866162,0.9234832910057352,1423,1,False
028d7b28,4,6234,20.157936133322426,17.500856628854276,18.656930723385425,16.28333656721632,-1.501005409937001,-1.2175200616379556,0.9161965099691228,1289,1,False
02e7fe5a,4,5108,6.258239914294181,4.894536865130848,5.3712030654600165,4.273324091720406,-0.8870368488341649,-0.6212127734104422,0.5451099419243715,1038,10,True
0390d174,1,4411,34.08211063830621,31.006997460356228,29.340959565967225,26.034270062878633,-4.741151072338987,-4.972727397477595,0.9731465844955948,960,1,False
03a935ae,0,2786,31.21446262002172,25.937959256470535,27.92835941479032,23.151944864987872,-3.2861032052313988,-2.786014391482663,0.765736547513096,1582,1,False
044af7d1,1,4519,6.341512942665938,5.252928917455505,9.294784379095411,7.232681075780062,2.953271436429473,1.9797521583245565,0.8110190306674664,850,1,False
0498acab,0,4798,4.629141575306929,3.6629788403704366,4.13983588099918,2.9538312464072045,-0.48930569430774895,-0.7091475939632321,0.7325108716940645,967,1,False
052d64df,1,2445,4.953271553092773,3.8525902530816287,4.455877897428912,3.7573532942185017,-0.4973936556638616,-0.095236958863127,0.8514548245099007,1654,1,False
05948241,4,3879,6.560210976171276,5.875856374063688,5.490185091599536,4.342155540669389,-1.0700258845717396,-1.533700833394299,0.8442836294449425,898,1,False
059c8f24,3,6258,10.027105329933432,7.611549404216939,9.547051930893947,7.030783364106382,-0.48005339903948574,-0.5807660401105572,0.7936987185401966,1203,1,False
05a0ee4d,3,4348,14.624607010326304,9.731254155189044,16.83499396354587,11.999257686315524,2.2103869532195652,2.26800353112648,0.7411174723262282,1358,1,False
060ab2b8,4,6258,4.43046650490241,3.126475258023841,7.462507895850904,5.60187205246518,3.0320413909484945,2.475396794441339,0.8140589119721428,722,1,False
06df5958,0,3509,4.474543232545016,3.7732007578652036,2.9976659200270492,2.490005824427177,-1.4768773125179666,-1.2831949334380264,0.6028725483590951,1404,1,False
071d7b45,4,3211,5.712790914700674,5.004205308859964,4.820999228508144,3.8847202569754953,-0.8917916861925299,-1.1194850518844688,0.5612185552395329,1269,2,True
