corr_bin,n_wells,mean_d_rmse,mean_rmse_e8,mean_rmse_e9b
corr<0,0,,,
0-0.60,34,0.7610562165670781,11.336830728343585,12.097886944910664
0.60-0.85,496,0.1666131298508667,11.086787281145975,11.253400410996841
0.85-1.0,243,-0.19779831167210568,11.190615601927929,10.992817290255823
