feature,importance_gain,importance_split
dZ_dMD_from_ps,716977503.2041992,2342.0
last_known_Y,312080585.9098633,437.2
pre_ps_dZ_dMD,300712947.39434206,628.2
known_length,248165118.48311767,645.2
Y,226057773.86126098,1535.8
X,220820193.71221924,1168.6
f_dtvt_dz_pre,214776194.4984619,654.2
f_extrap_quad_dMD,212172619.51279908,1771.6
f_dtvt_dz_r2,211323996.963031,705.6
pre_ps_tvt_curvature,189756611.36228028,557.4
f_extrap_slope5_dMD,188331648.91417846,1119.4
delta_X_from_PS,185502053.6562317,1368.6
pre_ps_tvt_slope_last20,175325117.87163085,444.8
pre_ps_gr_mean,172250460.6821533,599.0
pre_ps_tvt_slope_last5,164550411.59537354,217.6
pre_ps_gr_available_frac,149988283.36102906,731.8
n_rows_in_well,149552461.96663818,656.0
Z,142834888.25040895,1489.8
pre_ps_gr_last20_mean,141661087.48197022,564.6
last_known_MD,135606860.58703613,419.8
last_known_TVT,133341945.00432739,494.4
pre_ps_dY_dMD,128629184.85682373,299.0
pre_ps_gr_std,128347179.70942993,553.4
pre_ps_dX_dMD,123927994.64421387,421.8
last_known_X,123825988.0223938,254.4
pre_ps_horiz_dMD,118547493.3335083,585.2
delta_Y_from_PS,117181445.56528321,952.0
delta_Z_from_PS,111468100.42819825,817.0
pre_ps_gr_trend,108379393.97107545,572.0
f_extrap_slope20_dMD,106542903.88418579,1125.6
last_known_Z,100362600.19376221,283.4
f_extrap_disagree,98193165.20515747,1208.4
hidden_frac,98150776.62125245,136.2
f_extrap_z,98051136.89329223,760.6
hidden_length,82149230.76931152,346.4
pre_ps_azimuth,81620317.36086425,169.6
kh_ratio,79349900.7163086,396.4
f_dtvt_dmd_l50,74591472.35685425,287.6
dY_dMD_from_ps,73501232.70599976,647.0
azimuth_from_ps,69808279.97692871,411.8
dX_dMD_from_ps,69338220.9508911,546.2
MD,67356586.6586853,1256.0
row_frac,65984784.72977295,1419.6
horiz_disp_from_ps,31405848.55253906,468.2
delta_MD_from_PS,28636637.34749756,486.6
gr_rolling_mean_w50,10186828.89819336,207.4
pre_ps_tvt_delta_last20,9859304.592797851,27.0
post_ps_step,6637640.14151001,70.2
gr_rolling_mean_w20,687817.4576232911,27.2
gr_rolling_std_w20,230496.23427124025,23.4
GR,193089.1948730469,5.2
gr_vs_pre_ps_mean,96093.67774658203,5.4
gr_z_score,82583.99819946289,9.4
is_gr_missing,0.0,0.0
